patch_id,FIA_Group,patch_acres,acres,num_patches
14095,Oak/Hickory,1213,1690645,3797
14095,Oak/Gum/Cypress,295,57335,221
14096,Oak/Hickory,31,1690645,3797
14097,Oak/Hickory,77,1690645,3797
14097,Maple/Beech/Birch,16,116427,163
14099,Maple/Beech/Birch,16,116427,163
14101,Oak/Hickory,31,1690645,3797
14102,Oak/Hickory,15,1690645,3797
14103,Oak/Hickory,31,1690645,3797
14105,Oak/Hickory,15,1690645,3797
14107,Oak/Hickory,16,1690645,3797
14108,Oak/Hickory,15,1690645,3797
14109,Oak/Hickory,15,1690645,3797
14110,Oak/Hickory,44,1690645,3797
14111,Oak/Hickory,186,1690645,3797
14112,Oak/Hickory,15,1690645,3797
14113,Oak/Hickory,16,1690645,3797
14114,Oak/Hickory,47,1690645,3797
