patch_id,FIA_Forest_Type,patch_acres,acres,num_patches
12744,Chestnut Oak,5,32022,87
12744,Sweetgum / Yellow-poplar,48,512092,300
12744,Mixed Upland Hardwoods,22,949111,3291
12745,Yellow-poplar,62,30149,211
12745,Mixed Upland Hardwoods,15,949111,3291
12746,White Oak / Red Oak / Hickory,31,115120,329
12746,Mixed Upland Hardwoods,17,949111,3291
12747,Mixed Upland Hardwoods,31,949111,3291
12749,Yellow-poplar,169,30149,211
12749,Mixed Upland Hardwoods,245,949111,3291
12750,Mixed Upland Hardwoods,17,949111,3291
12751,Mixed Upland Hardwoods,15,949111,3291
12753,White Oak / Red Oak / Hickory,16,115120,329
12754,Yellow-poplar,62,30149,211
12755,Mixed Upland Hardwoods,14,949111,3291
12756,White Oak / Red Oak / Hickory,16,115120,329
12757,Sweetgum / Yellow-poplar,16,512092,300
12758,White Oak / Red Oak / Hickory,15,115120,329
12759,Mixed Upland Hardwoods,47,949111,3291
12761,Mixed Upland Hardwoods,327,949111,3291
12762,Mixed Upland Hardwoods,15,949111,3291
12764,Sweetgum / Yellow-poplar,32,512092,300
12766,Mixed Upland Hardwoods,16,949111,3291
12768,Mixed Upland Hardwoods,15,949111,3291
12769,Mixed Upland Hardwoods,15,949111,3291
12769,Cottonwood,16,1175,15
12770,Mixed Upland Hardwoods,31,949111,3291
12771,Other Pine / Hardwood,6,1298,10
12771,White Oak / Red Oak / Hickory,10,115120,329
12771,Black Cherry,5,77569,93
12772,White Oak / Red Oak / Hickory,16,115120,329
12773,Virginia Pine / Southern Red Oak,2518,19632,66
12773,Yellow-poplar / White Oak / Red Oak,75,16541,139
12773,Yellow-poplar,277,30149,211
12773,Mixed Upland Hardwoods,6792,949111,3291
12773,Sugar Maple / Beech / Yellow Birch,32,38274,63
12774,Northern Red Oak,17,6146,21
12774,Mixed Upland Hardwoods,16,949111,3291
12775,White Oak / Red Oak / Hickory,16,115120,329
12775,Mixed Upland Hardwoods,15,949111,3291
12776,Mixed Upland Hardwoods,16,949111,3291
12777,Mixed Upland Hardwoods,16,949111,3291
12778,Post Oak / Blackjack Oak,32,8206,99
12778,Chestnut Oak,16,32022,87
12778,Mixed Upland Hardwoods,109,949111,3291
12779,Eastern White Pine,3,559,9
12779,Sweetgum / Yellow-poplar,49,512092,300
12780,Virginia Pine / Southern Red Oak,15,19632,66
12781,Mixed Upland Hardwoods,16,949111,3291
12783,Eastern Redcedar / Hardwood,15,1448,24
12783,Sweetgum / Yellow-poplar,46,512092,300
12786,Yellow-poplar,15,30149,211
12787,Sweetgum / Yellow-poplar,46,512092,300
12787,Mixed Upland Hardwoods,885,949111,3291
12788,Black Cherry,9,77569,93
12789,Sweetgum / Yellow-poplar,15,512092,300
12791,Yellow-poplar,183,30149,211
12791,Mixed Upland Hardwoods,16,949111,3291
12792,Mixed Upland Hardwoods,16,949111,3291
12794,Sweetgum / Yellow-poplar,16,512092,300
12794,Mixed Upland Hardwoods,124,949111,3291
12796,Mixed Upland Hardwoods,32,949111,3291
12797,Mixed Upland Hardwoods,44,949111,3291
12797,Sugar Maple / Beech / Yellow Birch,14,38274,63
12799,Mixed Upland Hardwoods,32,949111,3291
12800,Mixed Upland Hardwoods,14,949111,3291
12801,Virginia Pine / Southern Red Oak,16,19632,66
12801,Mixed Upland Hardwoods,15,949111,3291
12804,Virginia Pine,16,18108,91
12804,Mixed Upland Hardwoods,16,949111,3291
12805,Yellow-poplar,1921,30149,211
12805,Mixed Upland Hardwoods,136,949111,3291
12805,Cottonwood,183,1175,15
12806,Sweetgum / Yellow-poplar,15,512092,300
12807,Mixed Upland Hardwoods,30,949111,3291
12808,Post Oak / Blackjack Oak,31,8206,99
12809,Mixed Upland Hardwoods,16,949111,3291
12810,Mixed Upland Hardwoods,31,949111,3291
12811,Mixed Upland Hardwoods,15,949111,3291
12812,Mixed Upland Hardwoods,16,949111,3291
12813,Mixed Upland Hardwoods,15,949111,3291
12814,Sweetgum / Yellow-poplar,16,512092,300
12814,Black Locust,16,840,24
12816,Mixed Upland Hardwoods,16,949111,3291
12818,Mixed Upland Hardwoods,16,949111,3291
12818,Black Cherry,30,77569,93
12819,Mixed Upland Hardwoods,16,949111,3291
12821,Yellow-poplar,48,30149,211
12823,Mixed Upland Hardwoods,46,949111,3291
12825,Mixed Upland Hardwoods,16,949111,3291
12826,Yellow-poplar,15,30149,211
12827,Virginia Pine / Southern Red Oak,31,19632,66
